Time,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,Prediction
0.9957,-202.8278,-300.9947,-32.721,-28.7083,2.09,-19.2894,-8.1354,-14.8272,-51.2078,-77.2282,8
2.7127,-198.6301,-294.6635,-31.2472,-28.2037,1.4,-18.6851,-7.6441,-13.9881,-50.0268,-74.5923,8
4.3999,-199.7061,-295.2322,-31.114,-28.4759,0.86738,-18.4943,-7.5095,-13.5574,-50.3209,-74.2716,8
6.0966,-203.4291,-300.882,-31.7223,-29.1284,0.10589,-18.6515,-7.7036,-13.5517,-51.5892,-75.4215,8
7.8065,-208.1985,-308.7193,-32.8232,-29.9207,-0.43512,-18.9883,-8.0178,-13.5492,-53.1249,-77.4681,8
9.4496,-213.0331,-316.5708,-34.2746,-30.414,-0.86398,-19.2424,-8.3548,-13.5716,-54.5914,-79.8874,8
10.7397,-217.2765,-323.9333,-35.49,-31.1984,-1.3727,-19.459,-8.6393,-13.5881,-55.9895,-82.2145,8
12.4171,-221.0692,-330.3573,-36.7823,-31.9261,-1.6803,-19.7453,-8.8992,-13.5254,-56.9551,-84.3934,8
14.0794,-224.3135,-336.0137,-38.0123,-32.3379,-1.8731,-19.898,-9.0305,-13.5248,-57.9538,-86.3589,8
15.7873,-227.3314,-341.1816,-39.0483,-32.6826,-2.0322,-20.0619,-9.1787,-13.5876,-58.9071,-88.3404,8
17.487,-229.9925,-345.8277,-40.2597,-32.8389,-2.2071,-20.4426,-9.2724,-13.7882,-59.7332,-90.0208,8
19.1949,-232.3593,-349.9872,-41.5616,-33.1662,-2.2895,-20.6498,-9.3798,-13.8044,-60.4431,-91.46,8
20.8975,-234.4938,-354.0301,-42.7588,-33.5139,-2.3719,-20.7639,-9.4769,-13.83,-61.2264,-92.711,8
22.6297,-236.6689,-357.4821,-43.9029,-33.7929,-2.2867,-20.8193,-9.3609,-13.8098,-61.8258,-93.962,8
24.3893,-238.6587,-360.6749,-45.0687,-34.2064,-2.3264,-20.897,-9.3899,-13.7462,-62.3385,-95.2005,8
25.7021,-240.4136,-363.6802,-46.1713,-34.3345,-2.4517,-21.1379,-9.471,-13.7967,-63.0059,-96.3846,8
27.4226,-242.025,-366.4644,-47.2691,-34.3558,-2.5636,-21.245,-9.5724,-13.8832,-63.4643,-97.5426,8
29.1841,-243.5235,-369.3209,-48.3427,-34.4216,-2.6548,-21.4904,-9.7423,-13.9723,-63.8523,-98.6127,8
30.8779,-245.1829,-371.9063,-49.3559,-34.6801,-2.8088,-21.5436,-9.8324,-14.0439,-64.3006,-99.5904,8
32.6026,-246.754,-374.3484,-50.4645,-35.0648,-3.0105,-21.5306,-9.9239,-14.0978,-64.7459,-100.5286,8
34.3613,-248.2029,-376.6258,-51.4721,-35.2057,-3.1663,-21.5735,-9.9626,-14.1779,-65.279,-101.4573,8
36.0348,-249.5261,-378.9373,-52.4878,-35.3628,-3.2059,-21.7235,-10.0243,-14.0561,-65.7133,-102.3103,8
37.7468,-250.9163,-381.2248,-53.4638,-35.5505,-3.2436,-21.8557,-10.2085,-14.0426,-66.0818,-103.1945,8
39.434,-252.1939,-383.3947,-54.4403,-35.7458,-3.2853,-21.6826,-10.2943,-14.1899,-66.5228,-104.0635,8
41.1521,-253.3926,-385.3449,-55.2675,-35.9254,-3.3753,-21.628,-10.3746,-14.2621,-66.8034,-104.9072,8
42.8374,-254.6491,-387.5583,-56.0387,-36.3238,-3.5167,-21.6314,-10.3989,-14.4913,-67.2235,-105.6414,8
44.5166,-255.6529,-389.7314,-56.9561,-36.5525,-3.6228,-21.3948,-10.2888,-14.5343,-67.4225,-106.456,8
46.3061,-256.8107,-391.8859,-57.797,-36.6992,-3.6663,-21.4687,-10.2724,-14.5087,-67.838,-107.3276,8
48.0621,-258.1172,-393.9293,-58.77,-36.7972,-3.767,-21.566,-10.4992,-14.4554,-68.2179,-108.1224,8
49.8079,-259.6417,-396.1412,-59.7605,-36.925,-4.0029,-21.6745,-10.6283,-14.29,-68.6151,-108.9156,8
51.4958,-260.9537,-398.1521,-60.7764,-37.0608,-4.1013,-21.8404,-10.5418,-14.2339,-68.9444,-109.696,8
53.2088,-262.132,-400.2229,-61.8062,-37.1937,-4.1003,-21.9658,-10.5453,-14.3477,-69.3983,-110.5078,8
54.886,-263.3019,-402.2629,-62.769,-37.3174,-4.1862,-22.2221,-10.5906,-14.4711,-69.8632,-111.3971,8
56.6315,-264.4474,-404.3003,-63.726,-37.4725,-4.2251,-22.2864,-10.6576,-14.6544,-70.1394,-112.2083,8
58.3593,-265.5598,-406.2498,-64.7003,-37.5085,-4.2535,-22.3578,-10.7206,-14.6635,-70.5357,-112.7757,8
60.114,-266.6336,-408.0964,-65.621,-37.5903,-4.3174,-22.5785,-10.6949,-14.8496,-70.9493,-113.4754,8
61.8618,-267.7132,-409.9267,-66.3482,-37.5677,-4.3152,-22.591,-10.725,-14.867,-71.3491,-114.2283,8
